Car Name,Car Link,Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Options,Engine (cc)
Honda CIVIC EX SAFETY 2018 Car,https://riyasewana.com/buy/honda-civic-ex-sale-kolonnawa-7525016,"Rs. 12,850,000",Honda,CIVIC EX SAFETY,2018,57600,Automatic,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1000
Mercedes-Benz C200 2019 Car,https://riyasewana.com/buy/mercedes-benz-c200-sale-nugegoda-7525013,"Rs. 32,200,000",Mercedes-Benz,C200,2019,55534,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Perodua Viva Elite Ezr 2011 Car,https://riyasewana.com/buy/perodua-viva-elite-sale-bandarawela-7525012,"Rs. 3,825,000",Perodua,Viva Elite,2011,90400,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Toyota Vitz Safety Edition 2017 Car,https://riyasewana.com/buy/toyota-vitz-safety-sale-wennappuwa-7525010,Negotiable,Toyota,Vitz Safety Edition,2017,46000,Automatic,Petrol,-,1000
Suzuki Alto K10 Vxi 2015 Car,https://riyasewana.com/buy/suzuki-alto-k10-sale-galle-7525009,"Rs. 3,475,000",Suzuki,Alto K10 Vxi,2015,69900,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER WINDOW",1000
Suzuki Wagon R 2014 Car,https://riyasewana.com/buy/suzuki-wagon-r-sale-galle-7525007,"Rs. 4,975,000",Suzuki,Wagon R,2014,139000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",650
Nissan TEANA 2013 Car,https://riyasewana.com/buy/nissan-teana-sale-gampaha-7525006,Negotiable,Nissan,TEANA,2013,-,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",2500
Toyota Carina Ti 1999 Car,https://riyasewana.com/buy/toyota-carina-ti-sale-moneragala-7525005,"Rs. 4,250,000",Toyota,Carina Ti,1999,185000,Automatic,Petrol,"AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW",1500
Nissan HB11 1984 Car,https://riyasewana.com/buy/nissan-hb11-sale-minuwangoda-7525004,"Rs. 890,000",Nissan,HB11,1984,123456,Manual,Petrol,"AIR CONDITION, POWER MIRROR",1500
Toyota PASSO MODA SAFETY 2016 Car,https://riyasewana.com/buy/toyota-passo-moda-sale-negombo-7525003,"Rs. 7,050,000",Toyota,PASSO MODA SAFETY,2016,39000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Micro Panda 2015 Car,https://riyasewana.com/buy/micro-panda-sale-gampaha-7525002,Negotiable,Micro,Panda,2015,83000,Manual,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
